annotation,act,agent,criterion,type
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek13/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_2,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_3,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_2,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_3,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_3,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_4,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/anno_3,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_4,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek3/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek3/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek4/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek4/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek5/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek5/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek6/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek3/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek3/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek22/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek7/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek4/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek4/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek5/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek5/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek8/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek9/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
