ekph,iconicReferent,identifiedResource
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek6/iconic_ref,https://www.wikidata.org/wiki/Q64223637
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek7_canvas7,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek7/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1_canvas5,https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek2_canvas10,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek3_canvas11,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek4_canvas11,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek11_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek11/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek1_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek2_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek3_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek4_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek5/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek6/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek7_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek7/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek8_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek8/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek9_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek9/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek1/iconic_ref,https://www.wikidata.org/wiki/Q3044873
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2/iconic_ref,https://www.wikidata.org/wiki/Q3798976
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2_canvas8,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2/iconic_ref,https://www.wikidata.org/wiki/Q3798976
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek3_canvas8,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek3/iconic_ref,https://www.wikidata.org/wiki/Q3964099
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek4_canvas9,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek4/iconic_ref,https://www.wikidata.org/wiki/Q3154803
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek5_canvas9,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek5/iconic_ref,https://www.wikidata.org/wiki/Q3947114
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6_canvas10,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6/iconic_ref,https://www.wikidata.org/wiki/Q3698208
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6_canvas11,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6/iconic_ref,https://www.wikidata.org/wiki/Q3698208
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek7_canvas11,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek7/iconic_ref,https://www.wikidata.org/wiki/Q3698260
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek8_canvas12,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek8/iconic_ref,https://www.wikidata.org/wiki/Q3005520
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10/iconic_ref,https://www.wikidata.org/wiki/Q18518827
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10_canvas11,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10/iconic_ref,https://www.wikidata.org/wiki/Q18518827
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek11_canvas11,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek11/iconic_ref,https://www.wikidata.org/wiki/Q15617847
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12_canvas11,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12/iconic_ref,https://www.wikidata.org/wiki/Q24011
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12_canvas12,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12/iconic_ref,https://www.wikidata.org/wiki/Q24011
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek13_canvas12,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek13/iconic_ref,https://www.wikidata.org/wiki/Q18578021
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek14_canvas14,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek14/iconic_ref,https://www.wikidata.org/wiki/Q18415088
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek15_canvas14,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek15/iconic_ref,https://www.wikidata.org/wiki/Q61037208
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek16_canvas14,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek16/iconic_ref,https://www.wikidata.org/wiki/Q120671751
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17_canvas17,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek18_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek18/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek19_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek19/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek1/iconic_ref,https://www.wikidata.org/wiki/Q3399481
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek20_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek20/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21_canvas19,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek2/iconic_ref,https://www.wikidata.org/wiki/Q636537
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek3_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek3/iconic_ref,https://www.wikidata.org/wiki/Q28976720
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek4_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek5/iconic_ref,https://www.wikidata.org/wiki/Q3210859
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek6_canvas8,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek6/iconic_ref,https://www.wikidata.org/wiki/Q2619037
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek7_canvas8,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek7/iconic_ref,
