ekphrasis,annotation
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10/anno_0
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10/anno_1
